original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a American person eating sarmale at West Lake.,a American person eating sarmale at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/gZIerxIDs68.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2200091660022735,0.2379448473453521,0.2558700501918792,0.1721898972988128,1,3,1,1,47.39,93.57,1.17,99.83,0.0047,99.1,2.52,16.3,20.0,69.95,64.08,61.98
a American person eating sarmale at the Potala Palace.,a American person eating sarmale at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/dmr7GoEU5DY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.1917388558387756,0.1792903423309326,0.2622208476066589,0.1536298125982284,1,1,1,1,54.46,91.72,1.07,99.94,0.0057,99.63,3.58,10.17,33.33,67.14,64.89,63.83
a American person eating mici at the Forbidden City.,a American person eating mici at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/qcdlokXT2Ls.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2437530487775802,0.2313506931066513,0.2510804772377014,0.2148187786340713,1,1,1,5,68.14,98.97,1.18,99.89,0.0049,99.65,6.14,11.25,22.22,68.55,67.98,63.22
a American person eating mici at West Lake.,a American person eating mici at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/J21LzfcCt4Q.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2290598750114441,0.2442514300346374,0.264799079298973,0.1844773799180984,1,1,2,1,59.34,94.43,1.16,99.36,0.0019,97.3,2.43,15.37,20.0,71.81,66.0,54.06
a American person eating mici at the Potala Palace.,a American person eating mici at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/XmaDIWsIK0Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.254045757651329,0.2272426426410675,0.2577120304107666,0.1987518161535263,1,2,1,2,90.28,98.2,1.26,99.85,0.0034,99.47,5.03,12.03,22.22,68.83,71.19,62.9
a American person eating mămăligă at the Forbidden City.,a American person eating mămăligă at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/91GgKFMvF0Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2367418110370636,0.2289260506629943,0.2767793893814086,0.1543161064386367,1,1,4,1,69.73,92.34,1.11,99.91,0.0182,99.63,5.85,9.69,33.33,68.27,67.27,60.54
a American person eating mămăligă at West Lake.,a American person eating mămăligă at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/AgIhTSWOeyQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2274361997842788,0.2225137025117874,0.2692810535430908,0.1971297681331634,2,2,4,1,73.51,97.26,1.14,99.67,0.0024,98.21,2.09,11.78,22.22,68.27,68.54,59.27
a American person eating mămăligă at the Potala Palace.,a American person eating mămăligă at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/14GKAaDQpsw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2441561251878738,0.2312652081251144,0.2681591868400573,0.207845452427864,2,1,4,1,89.86,98.53,1.15,99.92,0.0029,99.71,2.84,11.0,22.06,69.64,71.18,64.12
a American person playing nai at the Forbidden City.,a American person playing nai at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/Mv_caY6DMIc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2521568745374679,0.2203339666128158,0.2347481787204742,0.2235260546207428,1,1,1,5,0.81,0.85,1.63,99.65,0.049,98.96,16.96,14.22,10.0,66.76,43.67,49.12
a American person playing nai at West Lake.,a American person playing nai at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/JrOPkamYVVc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2564391881227493,0.2155715227127075,0.2186704069375991,0.2262238025665283,1,1,1,5,7.63,54.91,1.54,99.61,0.038,99.15,5.14,18.44,11.11,66.27,52.5,51.19
a American person playing nai at the Potala Palace.,a American person playing nai at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/PN-sNXiWG8M.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2580278038978577,0.2178620308637619,0.2593319803476334,0.2118583351373672,1,1,1,2,5.28,44.57,1.27,99.72,0.0223,99.29,8.41,13.58,22.22,66.51,50.68,56.49
a American person playing cobză at the Forbidden City.,a American person playing cobză at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/5Vdw6xYAP2I.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2397957116365432,0.2196142733097076,0.2270272940397262,0.1918663531541824,1,1,1,4,0.55,3.59,1.37,99.82,0.0247,99.33,10.37,11.48,20.0,66.11,44.04,57.38
a American person playing cobză at West Lake.,a American person playing cobză at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/QVdDHusng60.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2093035727739334,0.2268606930971145,0.2503073275089263,0.2192451864480972,1,1,1,1,8.61,82.37,1.48,99.62,0.0097,98.85,2.7,16.49,16.67,69.41,56.62,57.51
a American person playing cobză at the Potala Palace.,a American person playing cobză at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/HuZ5fmnehqc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2427710205316543,0.2033703953027725,0.2215612322092056,0.2624766707420349,1,1,1,5,18.48,85.83,1.36,99.67,0.0376,98.96,6.06,15.49,20.0,69.08,58.61,51.96
a American person playing țambal at the Forbidden City.,a American person playing țambal at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/ol7wr2NqVKc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2260494619607925,0.2113593518733978,0.2945129692554474,0.203219735622406,1,1,1,4,19.8,78.96,1.24,99.69,0.0831,99.35,11.66,12.85,33.33,67.55,57.83,42.27
a American person playing țambal at West Lake.,a American person playing țambal at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/cecWVQeFN0Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows West Lake in China.,0.247613313794136,0.2111228138208389,0.26481813788414,0.2158595472574234,1,1,1,1,46.6,94.85,1.45,98.75,0.0347,97.59,7.35,15.02,22.22,69.41,64.13,38.04
a American person playing țambal at the Potala Palace.,a American person playing țambal at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/6ljtkb_802s.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2303542882204055,0.2056854128837585,0.3197117984294891,0.1638224631547928,1,1,1,1,56.48,85.01,1.19,99.58,0.0371,99.38,14.24,13.09,33.33,68.17,64.21,51.22
a American person dancing Hora at the Forbidden City.,a American person dancing Hora at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/U80V3ypddxA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2647467613220214,0.2203902870416641,0.2374058306217193,0.2472856760025024,2,1,1,5,20.77,77.45,1.37,99.63,0.0315,99.22,7.4,15.32,15.38,68.82,57.74,53.1
a American person dancing Hora at West Lake.,a American person dancing Hora at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/kwahwIFAAVo.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2072246998548507,0.2220162570476532,0.2186236560344696,0.1785864770412445,1,2,1,1,52.71,40.91,1.34,99.4,0.0184,98.79,4.57,16.1,14.29,65.42,57.27,52.26
a American person dancing Hora at the Potala Palace.,a American person dancing Hora at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/dAZm-9RV8wI.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2498291343450546,0.2119537472724914,0.2255303740501403,0.2170642584562301,1,1,1,5,38.85,75.43,1.39,99.42,0.0296,98.9,9.39,14.47,22.22,68.57,60.17,50.03
a American person dancing Sârba at the Forbidden City.,a American person dancing Sârba at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/1Q97qqlh7Jw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2661416947841644,0.2007187694311142,0.2443432658910751,0.2543761104345322,1,1,1,5,17.52,75.2,1.45,99.56,0.0297,98.46,5.77,13.85,16.67,68.06,56.93,51.75
a American person dancing Sârba at West Lake.,a American person dancing Sârba at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/uKciRK3TJaA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2177435100078582,0.2314962089061737,0.2423958092927932,0.2007422655820846,1,2,1,1,19.66,85.23,1.22,99.34,0.0072,98.22,2.93,14.98,10.0,67.54,58.71,53.36
a American person dancing Sârba at the Potala Palace.,a American person dancing Sârba at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/tSNZRDtuogs.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.2665985703468322,0.2108600318431854,0.2639686197042465,0.21745465695858,1,1,1,2,18.84,40.29,1.22,99.47,0.0248,98.47,4.75,12.82,15.38,69.2,52.1,51.48
a American person dancing Brâul at the Forbidden City.,a American person dancing Brâul at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/NJne7Ht5SHU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2633678078651428,0.199674591422081,0.2346402764320373,0.2705603778362274,2,1,2,5,43.82,56.6,1.55,99.12,0.0387,98.23,11.28,14.89,16.67,68.43,58.18,43.03
a American person dancing Brâul at West Lake.,a American person dancing Brâul at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/dNjEZaWYuQo.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows West Lake in China.,0.2094636499881744,0.2085850059986114,0.2372394800186157,0.1573183357715606,1,2,1,1,3.27,56.59,1.37,99.1,0.0198,98.6,3.84,16.18,10.0,67.71,52.1,47.36
a American person dancing Brâul at the Potala Palace.,a American person dancing Brâul at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/cTUDL2FdF3Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Potala Palace in China.,0.277082759141922,0.2132289201021194,0.2733339726924896,0.2541758418083191,2,1,2,3,49.98,88.38,1.52,99.23,0.0379,98.48,6.28,13.8,15.38,69.01,63.7,45.06
a Romanian person eating Peking duck at the Statue of Liberty.,a Romanian person eating Peking duck at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/q7gnAwdZE2c.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2511036545038223,0.2194291800260543,0.2492496848106384,0.261318051815033,2,1,2,5,46.38,98.06,1.15,99.77,0.0034,99.16,1.62,12.32,33.33,67.39,64.58,61.46
a Romanian person eating Peking duck at the Grand Canyon.,a Romanian person eating Peking duck at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/wSpozsz347Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.1948275804519653,0.168671315908432,0.2206208616495132,0.2581014752388,1,1,2,5,35.65,96.25,1.14,99.61,0.0076,97.96,1.33,11.05,30.0,67.48,62.71,57.08
a Romanian person eating Peking duck at Mount Rushmore.,a Romanian person eating Peking duck at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/Hdbifjb2bxM.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2129411607980728,0.199897477030754,0.2687757790088653,0.1168120756745338,1,1,2,1,49.07,98.04,1.09,99.85,0.0135,99.22,3.27,11.14,27.27,67.16,64.99,60.31
a Romanian person eating mooncakes at the Statue of Liberty.,a Romanian person eating mooncakes at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/A3PufDb-s7o.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2521009802818298,0.2397671729326248,0.2884948372840881,0.2627884447574615,2,1,1,5,49.86,96.33,1.09,99.88,0.0025,99.13,0.92,14.03,23.08,67.95,64.86,63.19
a Romanian person eating mooncakes at the Grand Canyon.,a Romanian person eating mooncakes at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/aEbRL-jpzdc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.203015324473381,0.212674331665039,0.2210671126842499,0.2344376385211944,1,1,1,5,71.92,97.8,1.34,99.81,0.002,99.63,1.23,13.29,20.0,68.56,68.37,62.68
a Romanian person eating mooncakes at Mount Rushmore.,a Romanian person eating mooncakes at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/lbyRFy0XKsY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.24682137966156,0.2013191103935241,0.2099878400564193,0.2512259632349014,2,1,2,4,22.0,97.5,1.13,99.95,0.0014,99.64,1.01,11.23,16.67,67.07,60.84,64.85
a Romanian person eating dumplings at the Statue of Liberty.,a Romanian person eating dumplings at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/kDF0OjuabEY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2517493039369583,0.2325714349746704,0.2433117896318435,0.2687921345233917,3,1,4,5,28.04,97.45,1.15,99.69,0.0029,98.66,1.58,12.91,30.0,63.33,61.74,59.89
a Romanian person eating dumplings at the Grand Canyon.,a Romanian person eating dumplings at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/6H30ZrI6tnk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.1948861956596374,0.1906906813383102,0.2343998849391937,0.252758127450943,2,1,1,5,59.57,98.4,1.19,99.94,0.0024,99.67,1.29,12.23,20.0,63.55,66.61,64.51
a Romanian person eating dumplings at Mount Rushmore.,a Romanian person eating dumplings at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/MLPXtUQs55Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2498843938112259,0.1928718954324722,0.2469278424978256,0.3240497708320617,2,1,4,5,38.33,97.17,1.19,99.96,0.0039,99.68,1.62,11.04,20.0,62.08,63.24,64.48
a Romanian person playing guzheng at the Statue of Liberty.,a Romanian person playing guzheng at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/CFi68C4UfJ0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2356578171253204,0.2230066001415252,0.2690509080886841,0.1938698172569274,1,1,1,1,22.78,96.37,1.07,99.64,0.013,98.94,1.34,15.43,19.89,64.46,60.8,57.13
a Romanian person playing guzheng at the Grand Canyon.,a Romanian person playing guzheng at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/eHx3JLhVKHM.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2062668949365615,0.1963039278984069,0.221782249212265,0.2408057570457458,2,1,1,5,26.41,95.78,1.1,99.62,0.0225,99.1,2.81,12.02,22.22,62.1,61.26,54.79
a Romanian person playing guzheng at Mount Rushmore.,a Romanian person playing guzheng at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/R-ioRaci9_s.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2487582683563232,0.2137993812561035,0.2999921977519989,0.1886281698942184,3,1,5,5,54.96,96.09,1.16,99.23,0.016,98.07,4.73,13.69,22.22,64.07,65.59,49.7
a Romanian person playing erhu at the Statue of Liberty.,a Romanian person playing erhu at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/rMDWxHrMHC0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2263195186853409,0.2479620963335037,0.2597161650657654,0.1983434855937957,1,1,1,1,42.44,92.49,1.26,99.43,0.012,99.23,3.99,12.41,25.0,62.12,63.18,54.58
a Romanian person playing erhu at the Grand Canyon.,a Romanian person playing erhu at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/7hVHI7FNS18.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2032441735267639,0.1938098222017288,0.2580886334180832,0.2515987008810043,2,1,1,5,45.38,96.16,1.26,99.85,0.0094,99.61,3.22,11.44,20.0,62.45,64.15,61.55
a Romanian person playing erhu at Mount Rushmore.,a Romanian person playing erhu at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/C6ywAJC2OYk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2324767976999283,0.2191916912794113,0.2482236534357071,0.20420723259449,2,1,1,5,66.08,91.28,1.07,99.62,0.0323,99.21,12.32,11.73,20.0,63.12,66.57,52.61
a Romanian person playing dizi at the Statue of Liberty.,a Romanian person playing dizi at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/BJoE9s7MGAc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.23826564848423,0.2221019595861434,0.2511240512132645,0.2494761139154434,2,1,1,5,12.0,95.54,1.28,99.53,0.0165,99.26,2.3,13.61,23.08,63.44,59.05,55.04
a Romanian person playing dizi at the Grand Canyon.,a Romanian person playing dizi at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/4HasrnsfDDk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2053424268960952,0.2075669080018997,0.2372156202793121,0.2436393320560455,2,1,1,5,25.38,96.19,1.28,99.79,0.0138,99.59,2.71,13.26,9.09,61.2,61.15,59.64
a Romanian person playing dizi at Mount Rushmore.,a Romanian person playing dizi at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/5uCCUxRJ9j8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2265284329652786,0.2343807339668274,0.2580391824245452,0.2123109817504883,2,1,1,5,35.36,94.63,1.16,99.72,0.0285,99.42,6.11,13.32,18.18,62.6,62.43,55.18
a Romanian person dancing fan dance at the Statue of Liberty.,a Romanian person dancing fan dance at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/bumGJJybLYc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2595948368310928,0.2304046392440795,0.2361328721046448,0.2809513509273529,2,1,1,5,7.48,86.38,1.52,98.27,0.0347,96.26,3.74,15.14,27.15,62.52,57.03,29.78
a Romanian person dancing fan dance at the Grand Canyon.,a Romanian person dancing fan dance at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/C6V8Y_0DNU8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2174410164356231,0.2028343290090561,0.2091102510690689,0.2626348674297333,1,1,1,5,23.77,89.61,1.24,99.32,0.0709,99.21,7.89,13.99,10.0,60.95,59.96,39.55
a Romanian person dancing fan dance at Mount Rushmore.,a Romanian person dancing fan dance at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/7HH0aroVN1I.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2593144536018371,0.2340402215719223,0.2426309913396835,0.2559092551469802,3,1,5,5,10.35,75.24,1.54,99.25,0.1132,98.06,10.04,12.92,16.67,61.96,55.85,27.83
a Romanian person dancing ribbon dance at the Statue of Liberty.,a Romanian person dancing ribbon dance at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/L4MYV7FGM4A.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2653810679912567,0.2364895433187484,0.236683103442192,0.2862951695919037,2,1,4,5,9.64,95.89,1.61,98.55,0.0413,97.33,4.77,14.93,30.77,62.3,58.72,33.33
a Romanian person dancing ribbon dance at the Grand Canyon.,a Romanian person dancing ribbon dance at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/HmpUDjiJe8Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2194307893514633,0.2040618658065796,0.2615772515535354,0.2569819033145905,2,1,5,5,25.7,95.31,1.6,99.22,0.0985,99.18,7.0,14.51,16.67,62.04,61.05,31.7
a Romanian person dancing ribbon dance at Mount Rushmore.,a Romanian person dancing ribbon dance at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/TUT_olUXlNk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2573830842971801,0.2444238632917404,0.2808670818805694,0.2356965541839599,3,1,5,5,16.4,78.64,1.45,99.24,0.1004,97.75,7.04,12.93,18.18,61.92,57.25,30.37
a Romanian person dancing umbrella dance at the Statue of Liberty.,a Romanian person dancing umbrella dance at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/BPia5bAUwxo.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Statue of Liberty in United States.,0.2441220343112945,0.2425763607025146,0.2508391112089157,0.2878066807985305,1,1,4,1,12.4,71.19,1.16,98.2,0.0208,97.9,4.96,12.49,38.46,60.87,55.6,33.4
a Romanian person dancing umbrella dance at the Grand Canyon.,a Romanian person dancing umbrella dance at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/6UjrfFGYxUU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Grand Canyon in United States.,0.2169987648725509,0.2165582656860351,0.240179443359375,0.2400098383426666,1,1,1,5,46.09,94.42,1.1,98.72,0.0355,97.99,5.96,13.72,29.83,63.78,64.02,37.67
a Romanian person dancing umbrella dance at Mount Rushmore.,a Romanian person dancing umbrella dance at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/BmMVrJFF2XY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows Mount Rushmore in United States.,0.2500356644392013,0.2468502163887024,0.2796245545148849,0.2596606969833374,1,1,1,5,33.93,85.36,1.25,99.07,0.0676,95.07,11.86,14.11,30.0,64.41,60.87,32.94
a Romanian person eating hot dogs at the Forbidden City.,a Romanian person eating hot dogs at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/VctI2njZeGY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2539939999580383,0.2625887095928192,0.288246351480484,0.2047698318958282,1,1,1,3,45.86,95.79,1.15,99.88,0.0103,99.49,6.84,11.16,20.0,61.01,64.18,61.77
